conglome,vivienda,hogar,codperso,p208a,p207,p300a,p301a,p1$06,estrsocial,dominio,dom_2,dom_3,dom_4,dom_5,dom_6,dom_7,dom_8,estrsoc_2.0,estrsoc_3.0,estrsoc_4.0,estrsoc_5.0,estrsoc_6.0,educ_2.0,educ_3.0,educ_4.0,educ_5.0,educ_6.0,educ_7.0,educ_8.0,educ_10.0,educ_11.0,educ_12.0,lengua_indigena,conf_policia
15005,2,11,1,65,1,4,6.0,1,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
15005,24,11,3,33,2,4,11.0,2,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0
15005,46,11,1,58,1,4,11.0,2,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0
15005,57,11,2,54,2,4,1.0,1,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
15005,69,11,1,39,2,4,11.0,3,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
15005,90,11,3,69,1,4,11.0,1,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
15005,101,11,1,61,2,4,4.0,3,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
15008,11,11,2,58,2,4,8.0,2,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0
15008,29,11,1,80,2,4,1.0,3,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
15008,47,11,1,79,1,4,5.0,1,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0
15008,81,11,1,47,1,4,10.0,3,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0
15008,102,11,1,50,1,4,10.0,2,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0
15008,116,11,3,19,1,4,6.0,4,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.0
15008,149,11,1,74,1,4,11.0,2,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0
15008,183,11,1,45,2,4,5.0,1,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0
15009,13,11,1,45,1,4,11.0,3,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
15009,47,11,1,39,2,4,8.0,2,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0
15009,59,11,1,57,1,4,5.0,2,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0
15009,71,11,1,53,1,4,8.0,3,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
15009,84,11,2,27,2,4,6.0,3,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0
15009,106,11,1,41,1,4,8.0,1,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
15009,118,11,1,39,1,4,7.0,1,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
15013,1,11,1,54,2,4,4.0,3,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
15013,16,11,2,35,2,4,8.0,1,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
15013,32,11,1,28,1,4,10.0,4,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0
15013,63,11,1,38,1,4,10.0,1,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
15013,78,11,2,50,2,4,4.0,3,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
15020,47,11,1,61,1,4,6.0,2,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
15020,74,11,1,60,2,4,5.0,2,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0
15020,88,11,1,49,2,4,8.0,1,4.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
15024,26,11,1,67,1,4,4.0,3,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0
15024,69,11,1,26,2,4,7.0,3,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.0
15024,83,11,1,59,1,4,8.0,1,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0
15024,123,11,4,24,2,4,7.0,2,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.0
15029,3,11,3,29,2,4,7.0,2,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.0
15029,17,11,1,63,2,4,1.0,2,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
15029,36,11,1,41,2,4,4.0,2,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.0
15029,47,11,1,58,1,4,10.0,2,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0
15029,57,11,2,60,2,4,4.0,1,5.0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0
15031,17,11,2,19,1,4,6.0,3,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0
15031,40,11,2,40,2,4,8.0,3,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
15031,52,11,2,29,2,4,6.0,2,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
15031,75,11,2,63,2,4,4.0,2,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0
15031,87,11,2,22,2,4,8.0,1,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
15031,96,11,1,69,1,4,4.0,1,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
15033,11,11,1,66,2,4,3.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0
15033,23,11,2,69,2,4,3.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0
15033,37,11,2,61,2,4,11.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0
15033,60,11,1,38,1,4,6.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.0
15033,73,11,2,29,2,4,6.0,3,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.0
15033,85,11,1,41,1,4,6.0,1,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0
15040,21,11,1,28,1,4,6.0,2,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
15040,46,22,1,75,2,4,3.0,2,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0
15040,89,11,1,70,2,4,6.0,2,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
15040,110,11,1,37,1,4,6.0,1,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
15040,132,11,1,34,2,4,6.0,3,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0
15040,153,11,1,43,2,4,1.0,2,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
15048,2,11,1,41,1,4,11.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0
15048,15,12,2,45,2,4,3.0,1,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0
15048,15,22,2,24,2,4,6.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.0
15048,51,11,1,77,1,11,8.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2.0
15048,76,11,1,24,2,11,7.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2.0
15048,89,11,1,33,1,11,8.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2.0
15048,99,11,1,30,1,11,7.0,3,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3.0
15052,12,11,2,37,2,4,3.0,3,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.0
15052,23,11,2,50,2,4,6.0,1,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0
15052,44,11,1,43,2,4,3.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0
15052,53,11,2,43,1,4,8.0,1,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0
15052,64,11,1,35,2,4,5.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.0
15052,74,11,3,18,2,4,6.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.0
15056,13,11,3,18,1,4,6.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.0
15056,28,11,2,48,2,4,4.0,1,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0
15056,42,11,2,60,2,4,4.0,3,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0
15056,101,11,1,32,2,4,10.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0
15056,117,11,1,75,2,4,1.0,1,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
15056,130,11,1,42,1,4,3.0,1,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0
15058,20,11,1,66,1,4,6.0,1,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0
15058,52,11,1,38,1,4,6.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.0
15058,68,11,1,30,1,4,8.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0
15065,8,11,1,26,2,4,6.0,1,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
15065,25,11,1,44,2,4,8.0,2,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0
15065,59,11,2,36,2,4,6.0,2,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
15065,76,13,1,38,1,4,5.0,1,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
15065,76,23,1,36,2,4,5.0,1,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
15065,76,33,2,32,2,4,6.0,3,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0
15065,94,12,2,31,2,4,6.0,1,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
15065,94,22,1,81,1,4,4.0,3,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
15065,111,11,1,62,2,4,5.0,2,4.0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0
15068,12,11,1,43,1,4,6.0,3,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.0
15068,79,11,1,27,2,4,7.0,2,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.0
15068,94,11,1,48,1,4,7.0,1,5.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0
15076,7,11,1,57,1,4,4.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0
15076,62,11,1,85,2,4,3.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.0
15076,76,11,1,81,2,4,3.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0
15076,102,11,3,23,1,4,7.0,4,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.0
15076,115,11,1,56,1,4,6.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.0
15076,129,11,1,42,2,4,3.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.0
15076,142,11,1,60,2,4,4.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
15076,153,11,2,60,2,4,3.0,4,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.0
15078,2,11,1,56,2,4,4.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
15078,11,11,2,34,2,4,4.0,4,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.0
15078,29,11,3,32,1,4,6.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0
15078,38,11,1,55,1,4,4.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0
15078,47,11,2,39,2,4,3.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0
15078,57,11,1,38,1,4,4.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
15078,75,11,2,39,2,4,8.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0
15078,85,11,2,62,2,4,3.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0
15080,37,11,1,43,1,4,4.0,4,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.0
15080,38,11,1,46,1,4,3.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.0
15080,39,11,2,42,1,4,3.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.0
15080,40,11,2,35,2,4,4.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
15080,86,11,1,81,2,4,3.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0
15080,93,11,1,52,2,4,10.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.0
15080,96,11,1,64,1,4,4.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
15080,97,11,1,48,1,4,4.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0
15082,51,11,1,37,1,4,4.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0
15082,52,11,1,61,2,4,4.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
15082,53,11,1,54,1,4,4.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
15082,54,11,1,61,2,4,5.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0
15082,55,11,2,32,2,4,4.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
15082,56,11,2,20,2,4,6.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.0
15082,57,11,2,30,2,4,3.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.0
15084,5,11,1,71,2,4,4.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0
15084,6,11,1,61,2,4,4.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
15084,7,11,1,87,1,4,3.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0
15084,8,11,2,40,2,4,5.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0
15084,101,11,1,27,1,4,3.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0
15084,103,11,2,33,2,4,3.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0
15084,104,11,1,74,2,4,1.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
15084,106,11,2,29,2,4,1.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
15088,9,11,1,66,2,4,4.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
15088,10,11,1,36,1,4,6.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.0
15088,12,11,2,28,2,4,8.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
15088,13,11,1,88,1,4,1.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
15088,14,11,2,57,2,4,4.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
15088,15,11,1,54,1,4,8.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0
15088,21,11,1,66,2,4,4.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
15095,4,11,1,63,2,4,6.0,4,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.0
15095,14,11,2,55,2,4,6.0,4,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.0
15095,28,11,3,24,2,4,8.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0
15095,52,11,2,60,2,4,8.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
15095,64,11,2,63,2,4,8.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
15095,101,11,1,40,2,4,8.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
15095,113,11,1,32,1,4,6.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0
15099,74,11,1,37,1,4,4.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
15099,158,11,2,43,2,4,5.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.0
15099,159,11,2,78,2,4,3.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.0
15099,161,11,2,23,2,4,4.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0
15103,9,11,2,58,2,4,3.0,2,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.0
15103,10,11,1,26,1,4,5.0,3,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3.0
15103,12,11,1,46,1,4,4.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
15103,19,11,2,62,2,4,3.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0
15103,20,11,2,49,2,4,3.0,1,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0
15103,22,11,1,36,1,4,6.0,4,6.0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.0
15107,57,11,2,37,2,11,3.0,1,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1.0
15107,58,11,1,31,1,11,4.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2.0
15107,59,11,2,19,2,11,5.0,1,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1.0
15107,60,11,1,78,1,11,3.0,3,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3.0
15107,161,11,1,67,1,4,5.0,3,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3.0
15107,163,11,1,50,1,4,4.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
15107,164,11,1,78,1,11,5.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2.0
15109,17,11,2,19,1,4,7.0,3,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.0
15109,20,11,2,56,2,4,4.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
15109,137,11,1,52,1,4,6.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2.0
15109,138,11,2,31,2,4,4.0,1,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
15109,139,11,2,24,2,4,6.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2.0
15109,140,11,2,22,2,4,6.0,3,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.0
15109,141,11,2,55,2,4,3.0,3,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.0
15109,142,11,1,40,1,4,4.0,1,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
15114,69,11,1,50,1,4,4.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
15114,70,11,1,26,1,4,3.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.0
15114,71,11,2,51,2,4,1.0,1,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
15114,72,11,2,23,2,4,7.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0
15114,142,11,1,48,1,4,3.0,1,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0
15114,144,11,1,41,1,4,5.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.0
15114,147,11,2,44,2,4,4.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
15114,148,11,2,79,2,4,1.0,3,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
15115,9,11,1,68,1,4,5.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.0
15115,10,11,1,41,1,4,4.0,2,6.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
